strategy,level,tolerance,processes,ckpt size,avg ckpts time [s],max ckpt time [s],avg BW [GB/s],min BW [GB/s]
FILE_PER_PROC,total,0,320,343597383680,24.284000000000002,55.5003,5.7657300000000005,5.7657300000000005
FILE_PER_PROC,local,10,8,8589934592,0.52395,0.526758,1.90858,15.1872
FILE_PER_PROC,total,10,8,8589934592,4.33745,4.65719,1.71777,1.71777
FILE_PER_PROC,local,10,32,34359738368,0.5347029999999999,0.605662,1.8702,52.8347
FILE_PER_PROC,total,10,32,34359738368,6.209230000000001,6.69079,4.7826900000000006,4.7826900000000006
FILE_PER_PROC,local,10,128,137438953472,0.5438850000000001,0.7360760000000001,1.8386200000000001,173.895
FILE_PER_PROC,total,10,128,137438953472,9.72969,12.7355,10.0507,10.0507
FILE_PER_PROC,local,10,256,274877906944,0.538125,0.679064,1.8583,376.99
FILE_PER_PROC,total,10,256,274877906944,15.5299,23.5074,10.8902,10.8902
FILE_PER_PROC,local,10,320,343597383680,11.7141,54.7162,0.08536730000000001,5.84836
FILE_PER_PROC,total,10,320,343597383680,23.9431,56.2949,5.68435,5.68435
FILE_PER_PROC,local,20,8,8589934592,0.52405,0.52632,1.90822,15.1999
FILE_PER_PROC,total,20,8,8589934592,3.48472,3.8052099999999998,2.10238,2.10238
FILE_PER_PROC,local,20,32,34359738368,0.531668,0.569244,1.88087,56.2149
FILE_PER_PROC,total,20,32,34359738368,4.43987,5.22487,6.12456,6.12456
FILE_PER_PROC,local,20,128,137438953472,0.5327430000000001,0.557052,1.8770799999999999,229.78099999999998
FILE_PER_PROC,total,20,128,137438953472,9.09828,12.5344,10.2119,10.2119
FILE_PER_PROC,local,20,256,274877906944,0.54281,0.666181,1.84227,384.28
FILE_PER_PROC,total,20,256,274877906944,16.2044,23.7409,10.7831,10.7831
FILE_PER_PROC,local,20,320,343597383680,11.6995,53.9276,0.08547410000000001,5.93388
FILE_PER_PROC,total,20,320,343597383680,24.614,55.3809,5.77816,5.77816
